"","airline","timeOfFlight","deptAirport","arrAirport","arrDay","arrTime","deptCountry","flightNumber","estimatedOutGateVariation","estimatedOutGate","estimatedOffGround","actualOutGateVariation","actualOutGate","actualOffGround","estimatedInGateVariation","estimatedInGate","estimatedOnGround","actualInGateVariation","actualInGate","actualOnGround","arrTerminal","arrGate","numStops","connections","miles"
"39","AA",79,"TVC","ORD",2024-08-01,07:19:00,"US",3341,"00:00:00",2024-08-01 11:00:00,NA,"-00:07:00",2024-08-01 10:53:00,2024-08-01 11:07:00,"-00:12:00",2024-08-01 12:07:00,NA,"-00:12:00",2024-08-01 12:07:00,2024-08-01 11:55:00,"3","L24",0,"None","223.7"
"40","AA",110,"FAR","ORD",2024-08-01,07:20:00,"US",3340,"00:00:00",2024-08-01 10:30:00,NA,"-00:08:00",2024-08-01 10:22:00,2024-08-01 10:32:00,"-00:16:00",2024-08-01 12:04:00,NA,"-00:15:00",2024-08-01 12:05:00,2024-08-01 11:53:00,"3","L9",0,"None","555.98"
"41","AA",66,"CMI","ORD",2024-08-01,07:20:00,"US",3421,"00:00:00",2024-08-01 11:14:00,NA,"-00:07:00",2024-08-01 11:07:00,2024-08-01 11:20:00,"-00:09:00",2024-08-01 12:11:00,NA,"-00:12:00",2024-08-01 12:08:00,2024-08-01 12:00:00,"3","L25",0,"None","135.41"
"42","AA",78,"IND","ORD",2024-08-01,07:20:00,"US",4340,"00:00:00",2024-08-01 11:02:00,NA,"-00:07:00",2024-08-01 10:55:00,2024-08-01 11:07:00,"-00:17:00",2024-08-01 12:03:00,2024-08-01 11:50:00,"-00:18:00",2024-08-01 12:02:00,2024-08-01 11:51:00,"3","L21",0,"None","177.46"
"43","AA",96,"SDF","ORD",2024-08-01,07:21:00,"US",4578,"00:00:00",2024-08-01 10:45:00,NA,"-00:14:00",2024-08-01 10:31:00,2024-08-01 10:52:00,"-00:20:00",2024-08-01 12:01:00,2024-08-01 11:49:00,"-00:17:00",2024-08-01 12:04:00,2024-08-01 11:50:00,"3","L6B",0,"None","286.73"
"44","AA",81,"FNT","ORD",2024-08-01,07:21:00,"US",6041,"00:00:00",2024-08-01 11:00:00,NA,"-00:05:00",2024-08-01 10:55:00,2024-08-01 11:04:00,"-00:22:00",2024-08-01 11:59:00,2024-08-01 11:47:00,"-00:23:00",2024-08-01 11:58:00,2024-08-01 11:48:00,"3","G19A",0,"None","222.73"
"45","AA",84,"DTW","ORD",2024-08-01,07:23:00,"US",3457,"00:00:00",2024-08-01 10:59:00,NA,"-00:07:00",2024-08-01 10:52:00,2024-08-01 11:06:00,"-00:22:00",2024-08-01 12:01:00,NA,"-00:24:00",2024-08-01 11:59:00,2024-08-01 11:50:00,"3","L10A",0,"None","233.88"
"46","AA",122,"ICT","ORD",2024-08-01,07:24:00,"US",3915,"00:00:00",2024-08-01 10:22:00,NA,"00:00:00",2024-08-01 10:22:00,2024-08-01 10:35:00,"00:00:00",2024-08-01 12:24:00,NA,"00:05:00",2024-08-01 12:29:00,2024-08-01 12:11:00,"3","G12",0,"None","586.88"
"47","AA",145,"PHL","ORD",2024-08-01,07:24:00,"US",1652,"00:00:00",2024-08-01 09:59:00,NA,"-00:01:00",2024-08-01 09:58:00,2024-08-01 10:15:00,"-00:19:00",2024-08-01 12:05:00,NA,"-00:10:00",2024-08-01 12:14:00,2024-08-01 11:52:00,"3","K8",0,"None","676.25"
"48","AA",61,"MKE","ORD",2024-08-01,07:24:00,"US",6030,"00:00:00",2024-08-01 11:23:00,NA,"-00:11:00",2024-08-01 11:12:00,2024-08-01 11:23:00,"-00:32:00",2024-08-01 11:52:00,2024-08-01 11:47:00,"-00:25:00",2024-08-01 11:59:00,2024-08-01 11:47:00,"3","L2C",0,"None","66.93"
"49","AA",102,"OMA","ORD",2024-08-01,07:25:00,"US",1754,"00:00:00",2024-08-01 10:43:00,NA,"-00:07:00",2024-08-01 10:36:00,2024-08-01 10:48:00,"-00:13:00",2024-08-01 12:12:00,NA,"-00:11:00",2024-08-01 12:14:00,2024-08-01 11:59:00,"3","G4",0,"None","415.01"
"50","AA",97,"MCI","ORD",2024-08-01,07:25:00,"US",824,"00:55:00",2024-08-01 11:43:00,NA,"00:49:00",2024-08-01 11:37:00,2024-08-01 11:51:00,"00:51:00",2024-08-01 13:16:00,NA,"00:44:00",2024-08-01 13:09:00,2024-08-01 13:00:00,"3","K20",0,"None","402.04"
"51","AA",85,"COU","ORD",2024-08-01,07:25:00,"US",3655,"00:00:00",2024-08-01 11:00:00,NA,"-00:01:00",2024-08-01 10:59:00,2024-08-01 11:10:00,"00:06:00",2024-08-01 12:31:00,NA,"00:12:00",2024-08-01 12:37:00,2024-08-01 12:19:00,"3","H4",0,"None","314.94"
"52","AA",81,"STL","ORD",2024-08-01,07:25:00,"US",439,"00:10:00",2024-08-01 11:14:00,NA,"00:14:00",2024-08-01 11:18:00,2024-08-01 11:38:00,"00:30:00",2024-08-01 12:55:00,NA,"00:32:00",2024-08-01 12:57:00,2024-08-01 12:41:00,"3","H16",0,"None","258.14"
"53","AA",115,"YYZ","ORD",2024-08-01,07:25:00,"CA",3524,"00:00:00",2024-08-01 10:30:00,NA,"-00:08:00",2024-08-01 10:22:00,2024-08-01 10:51:00,"-00:13:00",2024-08-01 12:12:00,NA,"-00:11:00",2024-08-01 12:14:00,2024-08-01 12:00:00,"3","L23",0,"None","435.18"
