"airline","timeOfFlight","deptAirport","arrAirport","arrDay","arrTime","deptCountry","flightNumber","estimatedOutGateVariation","estimatedOutGate","estimatedOffGround","actualOutGateVariation","actualOutGate","actualOffGround","estimatedInGateVariation","estimatedInGate","estimatedOnGround","actualInGateVariation","actualInGate","actualOnGround","arrTerminal","arrGate","numStops","connections","miles"
"AC",254,"LAX","ORD","2024-08-01","12:14","US",5036,"00:00:00","2024-08-01T06:00:00-07:00","2024-08-01T06:26:00-07:00","-00:07:00","2024-08-01T05:53:00-07:00","2024-08-01T06:14:00-07:00","-00:13:00","2024-08-01T12:01:00-05:00","2024-08-01T11:44:00-05:00","-00:18:00","2024-08-01T11:56:00-05:00","2024-08-01T11:51:00-05:00","1","C21",0,list("None"),1741.16
"NZ",254,"LAX","ORD","2024-08-01","12:14","US",9661,"00:00:00","2024-08-01T06:00:00-07:00","2024-08-01T06:26:00-07:00","-00:07:00","2024-08-01T05:53:00-07:00","2024-08-01T06:14:00-07:00","-00:13:00","2024-08-01T12:01:00-05:00","2024-08-01T11:44:00-05:00","-00:18:00","2024-08-01T11:56:00-05:00","2024-08-01T11:51:00-05:00","1","C21",0,list("None"),1741.16
"VA",254,"LAX","ORD","2024-08-01","12:14","US",8045,"00:00:00","2024-08-01T06:00:00-07:00","2024-08-01T06:26:00-07:00","-00:07:00","2024-08-01T05:53:00-07:00","2024-08-01T06:14:00-07:00","-00:13:00","2024-08-01T12:01:00-05:00","2024-08-01T11:44:00-05:00","-00:18:00","2024-08-01T11:56:00-05:00","2024-08-01T11:51:00-05:00","1","C21",0,list("None"),1741.16
"JL",137,"BWI","ORD","2024-08-01","07:17","US",7321,"00:00:00","2024-08-01T06:00:00-04:00",NA,"-00:04:00","2024-08-01T05:56:00-04:00","2024-08-01T06:07:00-04:00","-00:28:00","2024-08-01T06:49:00-05:00",NA,"-00:28:00","2024-08-01T06:49:00-05:00","2024-08-01T06:38:00-05:00","3","L1A",0,list("None"),620.11
"TP",155,"EWR","ORD","2024-08-01","07:35","US",8478,"00:00:00","2024-08-01T06:00:00-04:00","2024-08-01T06:16:00-04:00","-00:05:00","2024-08-01T05:55:00-04:00","2024-08-01T06:08:00-04:00","-00:20:00","2024-08-01T07:15:00-05:00","2024-08-01T07:04:00-05:00","-00:20:00","2024-08-01T07:15:00-05:00","2024-08-01T06:51:00-05:00","1","C22",0,list("None"),717.35
"AC",155,"EWR","ORD","2024-08-01","07:35","US",4458,"00:00:00","2024-08-01T06:00:00-04:00","2024-08-01T06:16:00-04:00","-00:05:00","2024-08-01T05:55:00-04:00","2024-08-01T06:08:00-04:00","-00:20:00","2024-08-01T07:15:00-05:00","2024-08-01T07:04:00-05:00","-00:20:00","2024-08-01T07:15:00-05:00","2024-08-01T06:51:00-05:00","1","C22",0,list("None"),717.35
"AC",115,"BNA","ORD","2024-08-01","07:55","US",3085,"00:00:00","2024-08-01T06:00:00-05:00","2024-08-01T06:37:00-05:00","-00:01:00","2024-08-01T05:59:00-05:00","2024-08-01T06:23:00-05:00","-00:09:00","2024-08-01T07:46:00-05:00","2024-08-01T07:49:00-05:00","-00:06:00","2024-08-01T07:49:00-05:00","2024-08-01T07:34:00-05:00","1","B22",0,list("None"),409.79
"NZ",170,"BOS","ORD","2024-08-01","07:50","US",2092,"00:00:00","2024-08-01T06:00:00-04:00","2024-08-01T06:26:00-04:00","-00:06:00","2024-08-01T05:54:00-04:00","2024-08-01T06:10:00-04:00","-00:21:00","2024-08-01T07:29:00-05:00","2024-08-01T07:18:00-05:00","-00:10:00","2024-08-01T07:40:00-05:00","2024-08-01T07:17:00-05:00","1","B20",0,list("None"),864.37
"NZ",115,"BNA","ORD","2024-08-01","07:55","US",2070,"00:00:00","2024-08-01T06:00:00-05:00","2024-08-01T06:37:00-05:00","-00:01:00","2024-08-01T05:59:00-05:00","2024-08-01T06:23:00-05:00","-00:09:00","2024-08-01T07:46:00-05:00","2024-08-01T07:49:00-05:00","-00:06:00","2024-08-01T07:49:00-05:00","2024-08-01T07:34:00-05:00","1","B22",0,list("None"),409.79
"NZ",155,"EWR","ORD","2024-08-01","07:35","US",2348,"00:00:00","2024-08-01T06:00:00-04:00","2024-08-01T06:16:00-04:00","-00:05:00","2024-08-01T05:55:00-04:00","2024-08-01T06:08:00-04:00","-00:20:00","2024-08-01T07:15:00-05:00","2024-08-01T07:04:00-05:00","-00:20:00","2024-08-01T07:15:00-05:00","2024-08-01T06:51:00-05:00","1","C22",0,list("None"),717.35
